wilayah,bulan,curah_hujan_per_bulan,bulan_nama
Lamongan Kab.,12,9313.0,Des
Pacitan Kab.,12,8414.2,Des
Pacitan Kab.,11,7431.1,Nov
Situbondo Kab.,12,6843.0,Des
Lamongan Kab.,2,6681.0,Feb
Lamongan Kab.,11,6530.0,Nov
Lamongan Kab.,1,5775.0,Jan
Pacitan Kab.,1,5648.3,Jan
Lamongan Kab.,4,5451.0,Apr
Lamongan Kab.,3,5420.0,Mar
Pacitan Kab.,3,5017.5,Mar
Situbondo Kab.,3,4972.0,Mar
Bojonegoro Kab.,12,4788.4,Des
Pacitan Kab.,4,3943.2,Apr
Pacitan Kab.,2,3638.9,Feb
Bojonegoro Kab.,2,3480.35,Feb
Bojonegoro Kab.,11,3317.65,Nov
Bojonegoro Kab.,1,2936.65,Jan
Bojonegoro Kab.,4,2861.0,Apr
Bojonegoro Kab.,3,2769.55,Mar
Situbondo Kab.,2,1978.0,Feb
Situbondo Kab.,1,1618.0,Jan
Blitar Kota,11,1390.0,Nov
Pacitan Kab.,10,1361.6,Okt
Lamongan Kab.,6,1266.0,Jun
Lamongan Kab.,9,1151.0,Sep
Blitar Kota,12,1136.0,Des
Situbondo Kab.,4,1013.0,Apr
Ngawi Kab.,12,994.8,Des
Madiun Kota,12,994.8,Des
Pacitan Kab.,7,961.1,Jul
Trenggalek Kab.,12,905.25,Des
Malang Kota,11,892.8,Nov
Pasuruan Kota,12,864.5,Des
Kediri Kab.,1,843.4,Jan
Lamongan Kab.,10,826.0,Okt
